,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
282,haileybury,1,CA,1570643565,51,47.44,-79.64,62.6,16.11
283,port said,24,CD,1570643566,66,-7.04,29.76,79.79,4.79
284,nantucket,90,US,1570643566,93,41.28,-70.1,55.99,16.11
285,calama,0,CL,1570643567,5,-22.46,-68.93,79.0,20.8
286,mehamn,75,NO,1570643070,86,71.03,27.85,41.0,17.22
287,paralimni,1,GR,1570643569,69,40.99,23.67,64.0,5.99
288,rocha,0,UY,1570643105,52,-34.48,-54.34,73.31,10.84
289,evensk,20,RU,1570643182,43,61.92,159.24,24.53,14.63
290,nome,40,US,1570643097,55,30.04,-94.42,87.01,5.82
291,makakilo city,40,US,1570643200,83,21.35,-158.09,78.01,3.36
292,namibe,81,AO,1570643570,85,-15.19,12.15,66.83,6.96
293,cheney,20,US,1570643571,59,47.49,-117.58,41.0,10.29
294,jumla,4,NP,1570643571,91,29.28,82.18,41.45,3.57
295,licheng,1,CN,1570643571,88,24.5,110.4,70.07,2.2
296,okha,94,RU,1570643572,86,53.59,142.95,43.97,14.16
297,butembo,62,CD,1570643572,77,0.12,29.29,64.49,3.49
298,kotido,64,UG,1570643573,50,3.01,34.12,76.73,7.29
299,bontang,84,ID,1570643573,83,0.12,117.47,78.71,4.84
300,ilulissat,20,GL,1570643099,43,69.22,-51.1,33.8,5.82
301,bathsheba,40,BB,1570643070,62,13.22,-59.52,87.8,13.87
302,lazaro cardenas,5,MX,1570643574,33,29.05,-111.04,93.99,6.93
303,komoro,22,JP,1570643574,100,36.32,138.43,54.0,2.9
304,zalesovo,33,RU,1570643575,78,54.0,84.74,38.03,6.25
305,pangnirtung,90,CA,1570643106,80,66.15,-65.72,35.6,2.24
306,sand,75,DE,1570643575,81,49.68,11.63,53.6,8.05
307,lima,90,PE,1570643576,77,-12.06,-77.04,62.6,8.05
308,olovyannaya,50,RU,1570643578,45,50.94,115.59,29.75,15.18
309,martapura,37,ID,1570643578,92,-3.41,114.85,73.13,2.72
310,ambulu,15,ID,1570643578,83,-8.35,113.61,76.37,5.73
311,inhambane,20,MZ,1570643579,88,-23.87,35.38,77.0,13.87
312,bayshore gardens,1,US,1570643579,86,47.25,-123.05,50.0,6.36
313,coihaique,40,CL,1570643235,57,-45.58,-72.07,55.4,10.29
314,grand gaube,20,FR,1570643113,82,48.39,5.49,57.2,4.7
315,flinders,8,AU,1570643580,87,-34.58,150.85,57.0,8.05
316,maragogi,40,BR,1570643580,77,-9.01,-35.22,77.99,16.38
317,mahebourg,75,MU,1570643123,69,-20.41,57.7,73.4,17.22
318,iquique,0,CL,1570643142,63,-20.22,-70.14,62.6,9.17
319,volovo,99,RU,1570643581,89,53.55,38.01,42.17,13.14
320,agadez,20,NE,1570643268,41,16.97,7.99,91.4,9.17
321,chapada dos guimaraes,1,BR,1570643582,22,-3.91,-40.78,90.77,9.64
322,broome,20,GB,1570643117,76,52.47,1.45,55.0,6.93
323,gizo,20,IL,1570643583,74,31.8,34.94,78.8,4.7
324,ambovombe,22,MG,1570643583,51,-25.18,46.09,78.71,4.86
325,beloha,85,MG,1570643118,38,-25.17,45.06,82.67,10.91
326,gallup,1,US,1570643585,17,35.53,-108.74,66.2,21.92
327,yunyang,100,CN,1570643585,85,32.84,110.81,57.83,2.35
328,nanortalik,100,GL,1570643200,79,60.14,-45.24,40.91,11.57
329,roura,75,GF,1570643586,59,4.73,-52.33,89.6,14.99
330,berlevag,75,NO,1570643262,86,70.86,29.09,39.2,10.29
331,codrington,75,AU,1570643587,87,-28.95,153.24,60.8,3.31
332,nakamura,40,JP,1570643587,68,35.17,136.87,64.4,9.17
333,elizabeth city,90,US,1570643588,87,40.66,-74.21,55.99,9.17
334,alta floresta,75,NO,1570643238,80,69.97,23.27,41.0,17.22
335,mnogovershinnyy,6,RU,1570643589,76,53.94,139.92,33.71,2.54
336,forestville,5,CA,1570643589,61,48.74,-69.09,50.0,9.17
337,kununurra,0,AU,1570643154,21,-15.77,128.74,87.8,9.17
338,kiunga,100,PG,1570643590,96,-6.12,141.3,73.31,2.69
339,sao francisco,0,IN,1570643591,71,20.51,76.21,72.41,3.35
340,praia da vitoria,75,BR,1570643591,42,-20.25,-43.81,84.2,5.82
341,teeli,0,RU,1570643592,56,51.01,90.2,40.91,1.27
342,lompoc,90,US,1570643261,93,34.64,-120.46,55.4,4.7
343,bakel,25,SN,1570643592,40,14.9,-12.46,93.65,8.06
344,yumen,93,CN,1570643593,46,40.29,97.04,54.41,3.97
345,joshimath,0,IN,1570643254,65,30.57,79.57,42.17,4.78
346,ulvik,75,NO,1570643593,80,60.57,6.92,46.99,14.99
347,kilindoni,100,TZ,1570643065,89,-7.91,39.67,76.91,13.07
348,ambilobe,59,MG,1570643068,57,-13.19,49.05,78.17,15.2
349,raudeberg,75,NO,1570643148,76,61.99,5.14,52.0,14.99
350,siocon,100,PH,1570643597,86,11.03,124.04,77.81,4.6
351,vao,98,EE,1570643096,93,59.1,26.19,42.71,6.4
352,rehoboth,9,NA,1570643598,10,-23.31,17.08,71.51,10.67
353,tahoua,40,NE,1570643599,66,14.89,5.26,84.2,6.93
354,mayo,90,CA,1570643599,92,63.59,-135.9,24.8,1.45
355,marsabit,23,KE,1570643602,55,2.34,37.99,79.43,19.7
356,agadir,46,MA,1570643602,64,30.42,-9.58,71.6,11.41
357,kloulklubed,75,PW,1570643603,78,7.04,134.26,82.4,10.29
358,kalino,0,BG,1570643603,80,43.47,26.98,57.0,7.0
359,kaitangata,100,NZ,1570643195,93,-46.28,169.85,48.0,17.0
360,nuuk,20,GL,1570643604,48,64.17,-51.74,42.8,4.7
361,huazhou,6,CN,1570643604,91,21.65,110.64,75.47,6.81
362,zhangye,81,CN,1570643169,41,38.94,100.46,52.97,1.08
363,dikson,0,RU,1570643112,85,73.51,80.55,27.05,24.05
364,rexburg,69,US,1570643301,51,43.82,-111.79,37.99,25.28
365,medea,11,DZ,1570643605,53,36.27,2.77,77.0,4.7
366,menongue,94,AO,1570643605,62,-14.66,17.68,66.29,3.65
367,lubango,25,AO,1570643606,73,-14.92,13.49,63.59,6.85
368,nyrob,100,RU,1570643606,97,60.74,56.73,34.25,3.06
369,vila franca do campo,90,IT,1570643090,100,45.18,8.4,59.0,1.12
370,syracuse,1,US,1570643607,51,43.05,-76.15,63.0,9.8
371,mantua,75,IT,1570643607,87,45.16,10.79,64.99,4.7
372,chengde,83,CN,1570643607,71,40.97,117.93,48.47,1.54
373,clyde river,100,NZ,1570643227,95,-45.19,169.32,43.0,3.19
374,leningradskiy,100,RU,1570643125,91,69.38,178.42,29.21,24.06
375,razdolnaya,20,RU,1570643609,93,45.38,39.56,46.0,2.24
376,arvika,90,SE,1570643609,93,59.65,12.59,44.6,6.93
377,chicama,20,PE,1570643610,77,-7.84,-79.15,64.4,13.87
378,farafangana,0,MG,1570643610,81,-22.82,47.83,75.11,17.11
379,komsomolskiy,100,RU,1570643186,92,67.55,63.78,33.35,3.51
380,san javier,27,ML,1570643611,25,13.3,-4.9,94.37,7.15
381,narsaq,75,GL,1570643225,61,60.91,-46.05,46.4,4.7
382,warrington,40,GB,1570643612,71,53.39,-2.59,55.4,12.75
383,oktyabrskiy,90,RU,1570643294,93,55.61,37.97,39.2,4.47
384,houston,40,US,1570643612,55,29.76,-95.37,87.01,4.7
385,paracuru,20,BR,1570643262,48,-3.41,-39.03,87.8,19.46
386,santa maria,0,PH,1570643613,85,17.49,120.43,71.33,4.98
387,hofn,20,IS,1570643073,61,64.25,-15.21,46.4,14.99
388,bilibino,65,RU,1570643613,96,68.06,166.44,2.57,2.39
389,christchurch,100,NZ,1570643108,47,-43.53,172.64,59.0,8.05
390,pacific grove,1,US,1570643614,61,47.26,-122.25,48.0,3.36
391,atbasar,19,KZ,1570643618,43,51.81,68.36,54.95,6.25
392,tessalit,71,ML,1570643619,19,20.2,1.01,94.19,7.22
393,kifri,100,IQ,1570643620,22,34.69,44.96,88.61,9.23
394,fort nelson,100,IN,1570643153,90,17.96,79.61,75.47,3.14
395,marienburg,40,DE,1570643621,93,52.12,9.98,51.8,6.93
396,arman,100,RU,1570643626,76,59.7,150.17,40.37,12.84
397,cairns,100,AU,1570643627,94,-16.92,145.77,68.0,1.12
398,yokadouma,100,CM,1570643627,97,3.52,15.05,68.63,3.69
399,bur gabo,44,FI,1570643628,92,63.56,22.87,39.99,4.7
400,rancho palos verdes,0,BR,1570643628,34,-23.03,-52.96,88.25,7.62
401,tilichiki,33,RU,1570643207,68,60.47,166.1,21.47,8.78
402,vangaindrano,40,MG,1570643629,94,-23.35,47.6,68.63,3.36
403,leshukonskoye,99,RU,1570643630,95,64.9,45.76,33.17,11.53
404,paterno,67,IT,1570643630,64,42.06,13.47,69.8,2.24
405,snezhnogorsk,75,RU,1570643633,94,69.19,33.23,33.8,2.24
406,ormara,0,PK,1570643633,80,25.21,64.64,82.67,11.32
407,college,75,US,1570643634,93,64.86,-147.8,35.6,1.3
408,naze,75,NG,1570643179,100,5.43,7.07,75.2,2.24
409,bandarbeyla,65,SO,1570643278,90,9.49,50.81,79.25,10.51
410,san patricio,27,ML,1570643066,25,13.3,-4.9,94.37,7.15
411,moranbah,18,AU,1570643635,80,-22.0,148.04,67.73,13.54
412,sungairaya,22,ID,1570643636,88,0.7,108.9,75.11,1.29
413,husavik,100,CA,1570643636,88,50.56,-96.99,43.0,3.0
414,sturgeon falls,1,US,1570643637,52,39.23,-92.28,70.0,10.29
415,tvoroyri,94,FO,1570643638,87,61.56,-6.81,50.0,16.11
416,cedar city,1,US,1570643638,17,39.39,-110.45,73.0,6.93
417,paita,4,PE,1570643638,290,-5.09,-81.11,62.6,14.99
418,kharhial,12,IN,1570643639,86,20.28,82.77,74.21,0.59
419,deputatskiy,100,RU,1570643104,97,69.3,139.9,3.29,3.08
420,xining,100,CN,1570643241,92,36.62,101.77,41.45,3.87
421,humboldt,98,CA,1570643640,46,52.21,-105.12,32.45,13.16
422,husum,100,DE,1570643640,93,54.49,9.05,53.01,11.41
423,richards bay,1,US,1570643245,63,46.84,-95.91,66.2,14.99
424,dukat,0,AL,1570643641,83,40.25,19.57,68.0,3.02
425,horki,34,BY,1570643644,95,54.29,30.98,43.79,10.42
426,coahuayana,100,MX,1570643645,69,18.62,-100.35,83.03,2.63
427,kawalu,65,ID,1570643646,86,-7.38,108.21,67.01,2.38
428,hurricane,1,US,1570643646,14,37.18,-113.29,75.2,5.82
429,provideniya,96,RU,1570643127,92,64.42,-173.23,31.55,6.2
430,sibolga,74,ID,1570643201,98,1.74,98.78,71.33,1.29
431,methven,99,NZ,1570643649,59,-43.63,171.65,57.99,1.99
432,dublin,40,IE,1570643650,81,53.35,-6.26,50.0,9.17
433,nisia floresta,3,GR,1570643294,84,39.39,21.64,55.99,3.24
434,gandai,4,IN,1570643650,83,21.67,81.1,74.39,3.45
435,vilhena,40,BR,1570643651,52,-12.74,-60.15,87.8,5.82
436,cantaura,100,VE,1570643653,81,9.31,-64.36,84.29,5.17
437,champerico,75,MX,1570643653,65,16.38,-93.6,82.4,4.7
438,yaan,57,NG,1570643292,87,7.38,8.57,77.81,4.17
439,lashio,0,MM,1570643654,87,22.93,97.75,63.77,1.03
440,neyyattinkara,75,IN,1570643654,83,8.4,77.08,82.4,3.36
441,kirakira,95,SB,1570643654,84,-10.46,161.92,75.11,5.46
442,nemuro,0,JP,1570643304,71,43.32,145.57,55.31,4.64
443,majene,93,ID,1570643655,88,-3.54,118.97,74.93,7.52
444,midleton,20,IE,1570643656,71,51.91,-8.17,52.0,12.75
445,jalu,100,LY,1570643656,14,29.03,21.55,92.03,11.49
446,caravelas,36,BR,1570643108,65,-17.73,-39.27,80.87,15.2
447,saint-francois,12,FR,1570643285,82,46.42,3.91,55.4,5.87
448,rundu,60,NA,1570643658,16,-17.91,19.77,91.4,5.82
449,faya,40,SA,1570643152,28,18.39,42.45,71.6,23.04
450,isangel,44,VU,1570643658,78,-19.55,169.27,70.97,6.53
451,kalaleh,50,IR,1570643659,60,37.38,55.49,75.2,11.41
452,yulara,0,AU,1570643190,18,-25.24,130.99,62.6,5.82
453,sidney,1,US,1570643660,28,40.28,-84.16,73.99,5.82
454,cabedelo,75,BR,1570643660,62,-6.97,-34.84,84.2,16.11
455,howard springs,1,US,1570643259,67,44.01,-97.53,66.0,24.16
456,mill valley,90,NL,1570643662,81,51.68,5.78,54.0,13.87
457,half moon bay,75,LR,1570643212,83,6.38,-10.7,82.4,11.41
458,ponta do sol,100,BR,1570643143,87,-0.53,-65.05,81.95,1.98
459,vargem grande,90,BR,1570643663,83,-22.89,-46.41,73.99,5.82
460,miyakonojo,0,JP,1570643664,87,31.78,131.06,57.0,3.0
461,errol,20,GB,1570643664,81,56.39,-3.21,51.8,20.8
462,fortuna,1,US,1570643147,47,40.6,-124.16,55.4,8.05
463,fostoria,20,US,1570643665,49,43.24,-95.16,69.01,20.8
464,ziniare,40,BF,1570643665,62,12.58,-1.3,86.0,9.17
465,shumyachi,79,RU,1570643666,94,53.86,32.43,44.69,11.88
466,ntungamo,59,UG,1570643666,70,-0.87,30.27,67.55,0.87
467,altamont,90,CA,1570643667,100,49.4,-98.5,41.0,21.92
468,seminole,1,US,1570643667,39,32.72,-102.64,82.99,16.11
469,sarahan,2,IN,1570643667,75,31.51,77.79,35.87,3.04
470,beyneu,100,KZ,1570643668,69,45.32,55.19,56.57,19.57
471,hailar,89,CN,1570643668,64,49.2,119.7,35.15,18.41
472,groa,75,FR,1570643668,76,48.67,-4.14,57.2,19.46
473,busembatia,100,UG,1570643669,81,0.77,33.62,69.35,3.05
474,healdsburg,1,US,1570643669,44,38.61,-122.87,66.99,5.82
475,bom jesus,0,ML,1570643670,19,14.95,-2.93,96.53,8.38
476,linxia,100,CN,1570643670,91,35.6,103.21,40.91,1.9
477,princeton,90,US,1570643671,87,40.35,-74.66,57.99,9.17
478,flin flon,20,FR,1570643294,82,48.5,6.66,57.2,4.7
479,lensk,100,RU,1570643673,93,60.71,114.91,15.71,6.59
480,savannah bight,75,US,1570643674,73,32.08,-81.09,75.0,11.41
481,kinablangan,100,PH,1570643674,87,7.69,126.55,72.41,3.71
482,klaksvik,92,FO,1570643205,87,62.23,-6.59,50.0,16.11
483,zawadzkie,40,PL,1570643675,93,50.61,18.48,53.01,5.82
484,algiers,1,US,1570643676,55,29.94,-90.04,90.0,5.82
485,kalia,98,BD,1570643676,85,23.05,89.63,75.83,3.49
486,berettyoujfalu,1,HU,1570643677,51,47.22,21.55,60.8,6.93
487,hasaki,0,JP,1570643157,87,35.73,140.83,57.2,8.05
488,iskateley,35,RU,1570643678,88,67.68,53.15,30.65,14.01
489,chernyshevskiy,97,RU,1570643678,88,63.01,112.47,15.89,7.73
490,baruun-urt,51,MN,1570643679,46,46.68,113.28,32.27,9.49
491,lucapa,100,AO,1570643206,82,-8.42,20.74,71.87,3.45
492,poronaysk,0,RU,1570643679,71,49.22,143.1,48.65,8.15
493,balkanabat,75,TM,1570643680,57,39.51,54.36,70.07,8.85
494,plotnikovo,52,RU,1570643680,76,55.04,83.4,32.0,4.47
495,siderno,47,IT,1570643680,69,38.28,16.3,77.0,1.12
496,ponta delgada,100,BR,1570643681,87,-0.53,-65.05,81.95,1.98
497,alekseyevsk,100,RU,1570643681,80,57.84,108.35,21.29,4.96
498,binucayan,100,PH,1570643681,98,8.25,125.72,69.71,2.55
499,tsabong,0,BW,1570643682,19,-26.02,22.4,74.39,21.95
500,rio gallegos,1,US,1570643682,40,41.11,-90.4,72.0,10.29
501,anadyr,33,RU,1570643683,85,64.73,177.51,24.8,13.42
502,salalah,40,OM,1570643683,74,17.01,54.1,82.4,3.36
503,singaraja,0,ID,1570643683,72,-8.11,115.08,79.97,3.74
504,qui nhon,40,BR,1570643684,58,-10.97,-37.6,84.2,14.99
505,leamington,75,CA,1570643684,68,42.05,-82.6,70.0,9.17
506,usinsk,100,RU,1570643685,86,66.0,57.56,33.35,9.58
507,grand haven,20,FR,1570643686,82,48.39,5.49,57.2,4.7
508,kafue,63,ZM,1570643686,21,-15.74,28.18,84.2,6.93
509,yagodnoye,100,RU,1570643687,80,62.52,149.63,14.99,0.86
510,san lawrenz,27,ML,1570643687,25,13.3,-4.9,94.37,7.15
511,guanica,1,PR,1570643088,70,17.97,-66.91,90.0,14.99
512,benicarlo,7,ES,1570643688,80,40.42,0.43,70.79,6.75
513,muli,96,CN,1570643267,69,28.08,109.56,69.89,3.02
514,macae,90,BR,1570643689,78,-22.37,-41.79,77.0,8.05
515,nalut,15,LY,1570643689,46,31.86,10.98,73.67,11.75
516,hattiesburg,1,US,1570643690,48,31.33,-89.29,86.0,3.94
517,canutama,99,BR,1570643690,55,-6.53,-64.38,87.71,0.36
518,brufut,75,GM,1570643691,74,13.38,-16.75,86.0,5.82
519,kirzhach,100,RU,1570643692,95,56.16,38.87,39.47,7.75
520,tucumcari,1,US,1570643692,30,35.17,-103.73,80.6,23.04
521,anupgarh,0,IN,1570643693,23,29.19,73.21,83.75,3.63
522,kungurtug,34,RU,1570643693,95,50.6,97.53,27.59,1.73
523,cayenne,75,GF,1570643693,59,4.94,-52.33,89.6,14.99
524,chumikan,100,RU,1570643694,79,54.72,135.31,36.77,1.08
525,borovoy,97,RU,1570643694,85,63.23,52.89,31.19,4.84
526,lewistown,1,US,1570643694,40,40.39,-90.15,75.99,10.29
527,muravlenko,93,RU,1570643695,86,63.79,74.5,38.57,20.71
528,calvinia,0,ZA,1570643695,49,-31.47,19.78,51.71,12.38
529,pangkalanbuun,40,ID,1570643696,90,-2.68,111.62,72.41,1.29
530,rudarpur,20,IN,1570643696,100,26.64,83.25,75.2,1.12
531,panzhihua,3,CN,1570643697,91,26.59,101.72,58.55,1.34
532,las torres de cotillas,75,PL,1570643697,100,49.74,19.43,55.0,3.36
533,soyo,40,AO,1570643698,78,-6.13,12.37,80.6,6.93
534,changping,100,CN,1570643698,82,40.22,116.23,66.0,6.71
535,marathon,40,CA,1570643288,72,48.72,-86.38,59.0,14.99
536,pisco,20,PE,1570643225,30,-13.71,-76.2,71.6,9.17
537,lazuri,40,RO,1570643699,66,46.36,23.02,53.6,2.24
538,issia,65,CI,1570643700,94,6.49,-6.58,75.29,4.55
539,pampa,1,US,1570643700,44,35.54,-100.96,80.6,21.92
540,ozinki,33,RU,1570643701,57,51.2,49.73,42.17,7.88
541,katobu,81,ID,1570643702,95,-4.94,122.53,71.87,3.94
542,carbondale,75,US,1570643702,82,38.82,-95.69,62.01,12.75
543,lumberton,40,US,1570643702,55,30.27,-94.2,86.0,5.82
544,alzamay,22,RU,1570643703,79,55.55,98.67,25.07,2.54
545,lata,9,IN,1570643138,77,30.78,78.62,27.41,1.61
546,lerwick,20,GB,1570643704,87,60.15,-1.15,51.8,17.22
547,lewisporte,20,CA,1570643704,50,49.25,-55.06,57.99,12.75
548,talaya,87,RU,1570643705,77,55.79,84.89,32.0,2.24
549,bay roberts,20,PH,1570643705,78,14.18,121.28,81.0,2.24
550,mount isa,20,GB,1570643706,76,53.66,-1.85,53.6,11.41
551,leopold,1,US,1570643706,78,38.1,-86.58,73.4,6.93
552,sioux lookout,40,US,1570643706,45,46.74,-90.88,72.0,5.82
553,kedrovyy,93,RU,1570643707,79,56.17,91.82,23.0,3.57
554,bronnoysund,95,NO,1570643708,70,65.46,12.2,42.8,13.87
555,partizansk,0,RU,1570643709,93,43.13,133.13,44.33,1.29
556,morro bay,58,EC,1570643709,76,-2.63,-80.33,73.49,16.83
557,bemidji,1,US,1570643709,63,47.48,-94.89,64.4,14.99
558,anta,20,PE,1570643710,13,-13.47,-72.15,71.01,16.11
559,katangli,33,RU,1570643163,77,51.71,143.23,38.39,7.98
560,palora,75,EC,1570643710,61,-1.7,-77.97,77.0,3.36
561,cam ranh,92,AR,1570643711,22,-38.98,-67.82,69.8,5.82
562,yar-sale,100,RU,1570643262,93,66.83,70.83,39.83,16.59
563,ola,100,RU,1570643712,80,59.58,151.3,36.59,22.56
564,morondava,0,MG,1570643712,61,-20.3,44.28,79.43,7.66
